freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,fixation.started,sound_1.started,key_resp_3.started,fixation.stopped,sound_1.stopped,freq,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,text_2.started,key_resp_2.started,key_resp_2.keys,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,16.88966809998965,16.88966809998965,space,9.649115099979099,,,,,,,,,,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
500,0,0,0,4,,,,,26.876940399990417,27.875268829986453,27.875628700014204,27.892019399965648,28.555755299981683,500,down,1,0.988680700014811,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
200,0,1,1,0,,,,,28.890781199967023,29.89063833002001,29.890070299967192,29.890070299967192,,200,down,1,0.7393309999606572,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
200,0,2,2,1,,,,,30.655653199995868,31.655453530023806,31.655406199977733,31.655406199977733,,200,down,1,0.8490050999680534,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
500,0,3,3,6,,,,,32.52109589998145,33.519714329973795,33.5196261999663,33.53622740000719,34.20009719999507,500,up,1,1.0249461000203155,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
200,0,4,4,2,,,,,34.568835799989756,35.568048829969484,35.568033599993214,35.568033599993214,36.26505549997091,200,up,1,0.9043050999753177,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
500,0,5,5,5,,,,,36.50019200000679,37.499037129979115,37.49898829997983,37.51580210000975,38.17945920000784,500,down,1,0.8723473999998532,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
200,0,6,6,3,,,,,38.398441099969205,39.39715542999329,39.39735709998058,39.41446780000115,40.07770700001856,200,up,1,0.8559041999978945,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
200,1,0,7,3,,,,,40.27969880000455,41.278784530004486,41.27862559998175,41.27862559998175,,200,up,1,0.85821139998734,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
200,1,1,8,0,,,,,42.16115100000752,43.160523829981685,43.16037930001039,43.16037930001039,43.85761200002162,200,down,1,0.7378239000099711,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
500,1,2,9,5,,,,,43.92608860001201,44.925005630007945,44.9250086999964,44.94159379997291,45.622240099997725,500,down,1,0.7405635000322945,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
500,1,3,10,4,,,,,45.70510389999254,46.69080322998343,46.69046589999925,46.70695580000756,,500,down,1,0.6640175000065938,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
500,1,4,11,6,,,,,47.3901729999925,48.37208493001526,48.37199219997274,48.40526329999557,49.052336899971124,500,down,1,0.6222614999860525,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
200,1,5,12,2,,,,,49.052336899971124,50.053586029971484,50.05384760000743,50.05384760000743,50.73354789998848,200,up,1,1.0098973999847658,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
200,1,6,13,1,,,,,51.0853933999897,52.08495453000069,52.08491689997027,52.08491689997027,52.76526569999987,200,down,1,0.8337509999983013,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
500,2,0,14,6,,,,,52.95049149997067,53.94972823001444,53.94935710000573,53.94935710000573,54.6466157999821,500,up,1,0.6382557000033557,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
500,2,1,15,5,,,,,54.6466157999821,55.63164972997038,55.63152960001025,55.64829669997562,,500,up,1,0.8142017999780364,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
500,2,2,16,4,,,,,56.46409769996535,57.463091830024496,57.46324369998183,57.48011140001472,58.1429582000128,500,down,1,0.8935697000124492,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
200,2,3,17,1,,,,,58.37910089996876,59.37776862998726,59.3776446999982,59.39425680000568,60.074447499995586,200,up,1,0.9043811000301503,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
200,2,4,18,0,,,,,60.310050199972466,61.309241230017506,61.30910040001618,61.30910040001618,62.00707049999619,200,up,1,0.9385248000035062,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
200,2,5,19,2,,,,,62.27474690001691,63.273695830022916,63.27427519997582,63.29059639998013,63.95458389999112,200,up,1,0.7946671000099741,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
200,2,6,20,3,,,,,64.0899963999982,65.08914543001447,65.08885820000432,65.08885820000432,65.76904430001741,200,down,1,0.6927736000507139,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
200,3,0,21,0,,,,,65.81860090000555,66.80355983000482,66.80387299996801,66.82027730002301,67.48385199997574,200,up,1,0.9436589000397362,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
500,3,1,22,6,,,,,67.76972799998475,68.76974752999377,68.76883899996756,68.76883899996756,,500,up,1,0.8497465999680571,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
200,3,2,23,3,,,,,69.65090020000935,70.65083302999847,70.65039769996656,70.65039769996656,71.33066059998237,200,up,1,0.8142579999985173,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
500,3,3,24,5,,,,,71.48272879997967,72.48144072998548,72.48181480000494,72.49852769996505,,500,down,1,0.7961226999759674,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
500,3,4,25,4,,,,,73.29775410000002,74.29647453001235,74.29662959999405,74.31335900002159,,500,down,1,0.6343575000064448,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
200,3,5,26,1,,,,,74.97656759998063,75.9784609299968,75.97833359998185,75.97833359998185,76.65920950000873,200,up,1,0.912205400003586,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
200,3,6,27,2,,,,,76.91039899998577,77.9095851299935,77.90950060001342,77.90950060001342,78.59010999999009,200,down,1,0.7968483999720775,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
500,4,0,28,4,,,,,78.72560120001435,79.72485932998825,79.7250310999807,79.7250310999807,80.40484679996734,500,up,1,0.9225118999602273,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
500,4,1,29,6,,,,,80.67361060000258,81.67379302997142,81.6728278999799,81.6728278999799,82.35300980001921,500,up,1,0.9548184999730438,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
200,4,2,30,0,,,,,82.65544469997985,83.65479503001552,83.6548251999775,83.6548251999775,,200,down,1,0.8095681000268087,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
200,4,3,31,2,,,,,84.48643739998806,85.48657002998516,85.48549980000826,85.48549980000826,86.18257160001667,200,down,1,0.9761307000298984,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
200,4,4,32,1,,,,,86.48470089997863,87.48493232997134,87.48394720000215,87.48394720000215,88.18095259997062,200,down,1,0.7621707999496721,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
200,4,5,33,3,,,,,88.26590659999056,89.26545702997828,89.2651473999722,89.2651473999722,89.96180849999655,200,down,1,0.660128999967128,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
500,4,6,34,5,,,,,89.96180849999655,90.94674872996984,90.9467698999797,90.96369980002055,91.64448680001078,500,down,1,0.7062543000211008,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
500,5,0,35,4,,,,,91.69324940000661,92.67888193001272,92.67841370002134,92.69543129997328,,500,up,1,1.0182937000063248,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
200,5,1,36,0,,,,,93.72725519997766,94.7266418299987,94.72656859998824,94.72656859998824,95.40712689998327,200,down,1,0.8584135000128299,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
200,5,2,37,3,,,,,95.60867440002039,96.60781423002481,96.60792659997242,96.60792659997242,,200,up,0,0.7375492999562994,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
500,5,3,38,6,,,,,97.37401969998609,98.37276192998979,98.37290700001176,98.38941509998403,99.0536235999898,500,up,1,0.8476601000293158,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
