freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,fixation.started,fixation.stopped,sound_1.started,key_resp_3.started,sound_1.stopped,freq,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,text_2.started,key_resp_2.started,key_resp_2.keys,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,27.138031199981924,27.138031199981924,space,2.037141899985727,,,,,,,,,,,,,H,001,2023-11-24_15h49.03.244,final project experiment,2022.2.1,60.159313896555865,
200,0,0,0,0,,,,,37.091325299988966,38.08984819997568,38.091058319987496,38.08984819997568,38.76919919997454,200,down,1,1.5082809999585152,,,,H,001,2023-11-24_15h49.03.244,final project experiment,2022.2.1,60.159313896555865,
200,0,1,1,3,,,,,39.63502119999612,40.63672179996502,40.619999319984345,40.62007389997598,,200,up,1,2.017594499979168,,,,H,001,2023-11-24_15h49.03.244,final project experiment,2022.2.1,60.159313896555865,
200,0,2,2,1,,,,,42.68135839997558,43.68478409998352,43.667065119982,43.6673354000086,44.36356759996852,200,up,1,3.7753102999995463,,,,H,001,2023-11-24_15h49.03.244,final project experiment,2022.2.1,60.159313896555865,
200,0,3,3,2,,,,,47.47671999997692,48.47920499998145,48.462162820011145,48.46179969998775,49.141713899967726,200,up,1,1.677119900006801,,,,H,001,2023-11-24_15h49.03.244,final project experiment,2022.2.1,60.159313896555865,
500,0,4,4,5,,,,,50.17423369997414,51.17636089998996,51.16038061995641,51.15913330001058,51.855891299957875,500,down,1,1.0210633000242524,,,,H,001,2023-11-24_15h49.03.244,final project experiment,2022.2.1,60.159313896555865,
500,0,5,5,6,,,,,52.20850040001096,53.20787499996368,53.20822311998927,53.20787499996368,53.90398519998416,500,up,1,1.0186793999746442,,,,H,001,2023-11-24_15h49.03.244,final project experiment,2022.2.1,60.159313896555865,
500,0,6,6,4,,,,,54.2703584000119,55.274030999979004,55.25671441995655,55.25684220000403,,500,down,1,0.948733999975957,,,,H,001,2023-11-24_15h49.03.244,final project experiment,2022.2.1,60.159313896555865,
200,1,0,7,0,,,,,56.23797299998114,57.23766859999159,57.237484219978796,57.23766859999159,57.93325159995584,200,up,1,1.095973999996204,,,,H,001,2023-11-24_15h49.03.244,final project experiment,2022.2.1,60.159313896555865,
500,1,1,8,6,,,,,58.36593049997464,59.36853360000532,59.35197461998905,59.35177979996661,60.04819810000481,500,up,1,2.7619119999581017,,,,H,001,2023-11-24_15h49.03.244,final project experiment,2022.2.1,60.159313896555865,
200,1,2,9,3,,,,,62.146476199966855,63.1484300000011,63.13191551997443,63.131741199991666,63.810809799993876,200,down,1,0.8916098999907263,,,,H,001,2023-11-24_15h49.03.244,final project experiment,2022.2.1,60.159313896555865,
500,1,3,10,4,,,,,64.06072289997246,65.06319339998299,65.04633101998479,65.04662400000961,65.74326660000952,500,up,1,1.6113747999770567,,,,H,001,2023-11-24_15h49.03.244,final project experiment,2022.2.1,60.159313896555865,
500,1,4,11,5,,,,,66.69142599997576,67.69419489998836,67.67728321996401,67.67680600000313,68.35698069998762,500,down,1,1.221181600005366,,,,H,001,2023-11-24_15h49.03.244,final project experiment,2022.2.1,60.159313896555865,
200,1,5,12,2,,,,,68.93890339997597,69.9414928999613,69.92529221999575,69.92511179996654,70.60471200000029,200,up,1,4.397295699978713,,,,H,001,2023-11-24_15h49.03.244,final project experiment,2022.2.1,60.159313896555865,
200,1,6,13,1,,,,,74.36815240001306,75.36939219996566,75.35355761999381,75.35399309999775,76.03288630000316,200,up,1,0.961694199941121,,,,H,001,2023-11-24_15h49.03.244,final project experiment,2022.2.1,60.159313896555865,
